JobIDRaw|Account|User|State|Partition|ReqCPUS|ReqMem|Timelimit|Submit|Start|End|NodeList|ReqTRES|Reason
1|hpc|user.25|COMPLETED|cpu|23|52G|3-00:00:00|2022-08-01T23:41:49|2022-08-02T03:18:49|2022-08-02T14:07:49|node1|billing=10,cpu=23,mem=52G,node=1|None
2|hpc|user.2|COMPLETED|cpu|84|369G|3-00:00:00|2022-08-01T22:52:49|2022-08-01T23:36:49|2022-08-01T23:52:49|node2|billing=10,cpu=84,mem=369G,node=1|QOSMaxJobsPerUserLimit
3|hpc|user.33|COMPLETED|cpu|1|136G|3-00:00:00|2022-08-01T21:44:49|2022-08-02T00:22:49|2022-08-02T14:51:49|node3|billing=10,cpu=1,mem=136G,node=1|None
4|hpc|user.71|COMPLETED|cpu|27|478G|3-00:00:00|2022-08-02T00:37:49|2022-08-02T02:58:49|2022-08-03T00:44:49|node4|billing=10,cpu=27,mem=478G,node=1|None
5|hpc|user.71|COMPLETED|cpu|19|74G|3-00:00:00|2022-08-01T23:06:49|2022-08-02T00:24:49|2022-08-02T10:43:49|node5|billing=10,cpu=19,mem=74G,node=1|Dependency
6|hpc|user.8|COMPLETED|cpu|76|137G|3-00:00:00|2022-08-01T21:49:49|2022-08-02T00:12:49|2022-08-02T02:53:49|node6|billing=10,cpu=76,mem=137G,node=1|None
7|hpc|user.68|COMPLETED|cpu|18|231G|3-00:00:00|2022-08-01T23:48:49|2022-08-02T01:56:49|2022-08-02T09:34:49|node7|billing=10,cpu=18,mem=231G,node=1|Dependency
8|hpc|user.39|COMPLETED|cpu|13|193G|3-00:00:00|2022-08-02T00:04:49|2022-08-02T02:15:49|2022-08-02T10:08:49|node8|billing=10,cpu=13,mem=193G,node=1|None
9|hpc|user.8|COMPLETED|cpu|10|83G|3-00:00:00|2022-08-01T21:38:49|2022-08-01T22:28:49|2022-08-02T07:45:49|node9|billing=10,cpu=10,mem=83G,node=1|None
10|hpc|user.26|COMPLETED|cpu|68|471G|3-00:00:00|2022-08-01T22:26:49|2022-08-02T02:10:49|2022-08-02T08:00:49|node10|billing=10,cpu=68,mem=471G,node=1|None
11|hpc|user.9|COMPLETED|gpu|53|249G|3-00:00:00|2022-08-01T21:37:49|2022-08-01T23:40:49|2022-08-02T16:20:49|gpunode1|billing=10,cpu=53,gres/gpu=2,mem=249G,node=1|None
12|hpc|user.77|COMPLETED|gpu|8|21G|3-00:00:00|2022-08-02T00:09:49|2022-08-02T01:10:49|2022-08-02T04:13:49|gpunode2|billing=10,cpu=8,gres/gpu=1,mem=21G,node=1|None
13|hpc|user.83|COMPLETED|gpu|15|103G|3-00:00:00|2022-08-01T23:26:49|2022-08-02T03:15:49|2022-08-02T04:09:49|gpunode3|billing=10,cpu=15,gres/gpu=2,mem=103G,node=1|Dependency
14|hpc|user.54|COMPLETED|gpu|16|77G|3-00:00:00|2022-08-01T23:02:49|2022-08-01T23:30:49|2022-08-02T06:36:49|gpunode4|billing=10,cpu=16,gres/gpu=15,mem=77G,node=1|None
15|hpc|user.19|COMPLETED|gpu|62|62G|3-00:00:00|2022-08-01T22:42:49|2022-08-02T00:48:49|2022-08-02T11:53:49|gpunode5|billing=10,cpu=62,gres/gpu=2,mem=62G,node=1|QOSMaxJobsPerUserLimit
16|hpc|user.34|COMPLETED|gpu|12|7G|3-00:00:00|2022-08-01T22:23:49|2022-08-01T23:13:49|2022-08-02T17:34:49|gpunode6|billing=10,cpu=12,gres/gpu=2,mem=7G,node=1|None
17|hpc|user.28|COMPLETED|gpu|5|245G|3-00:00:00|2022-08-01T21:12:49|2022-08-01T23:13:49|2022-08-02T16:40:49|gpunode7|billing=10,cpu=5,gres/gpu=2,mem=245G,node=1|None
18|hpc|user.97|COMPLETED|gpu|78|288G|3-00:00:00|2022-08-01T23:22:49|2022-08-01T23:26:49|2022-08-02T06:43:49|gpunode8|billing=10,cpu=78,gres/gpu=16,mem=288G,node=1|None
19|hpc|user.7|COMPLETED|gpu|6|0G|3-00:00:00|2022-08-01T21:59:49|2022-08-01T23:15:49|2022-08-02T02:43:49|gpunode9|billing=10,cpu=6,gres/gpu=1,mem=0G,node=1|ReqNodeNotAvail
20|hpc|user.71|COMPLETED|gpu|20|1284G|3-00:00:00|2022-08-02T00:20:49|2022-08-02T03:44:49|2022-08-02T18:22:49|gpunode10|billing=10,cpu=20,gres/gpu=10,mem=1284G,node=1|None
21|hpc|user.26|COMPLETED|cpu|5|75G|3-00:00:00|2022-08-02T21:28:49|2022-08-03T00:44:49|2022-08-03T14:43:49|node1|billing=10,cpu=5,mem=75G,node=1|None
22|hpc|user.20|COMPLETED|cpu|8|555G|3-00:00:00|2022-08-02T22:30:49|2022-08-03T02:14:49|2022-08-03T13:54:49|node2|billing=10,cpu=8,mem=555G,node=1|None
